ZdAId;ZdAVersion;ZdACreated;ZdAChanged;ZdAName;ZdAXEpsg2154;ZdAYEpsg2154;ZdCId;ZdAType;ZdAPostalRegion;ZdATown,
463829;1034907-71141;2019-02-21T01:00:00+01:00;2023-08-24T17:49:07+02:00;Chardon Lagache - Molitor;646159;6860774;71141;onstreetBus;75116;Paris 16e,
488468;1493256-1454920;2023-08-24T13:50:43+02:00;2023-08-24T13:51:43+02:00;République / Périer;649846;6857324;70508;onstreetBus;92049;Montrouge,
488464;1493241-1495005;2023-08-24T13:50:36+02:00;2023-08-24T13:51:43+02:00;République / Molière;649672;6856977;70449;onstreetBus;92049;Montrouge,
50418;1328878-1328879;2014-12-29T01:00:00+01:00;2023-08-24T13:51:43+02:00;Verdier - République;649922;6857478;70531;onstreetBus;92049;Montrouge,
45051;45051-70717;2014-12-29T16:31:51+01:00;2023-08-24T11:50:53+02:00;Villepreux;637365;6860418;70717;onstreetBus;92076;Vaucresson,
59029;1186006-1398579;2014-12-29T01:00:00+01:00;2023-08-24T11:46:59+02:00;Rue de l'Horloge;635174;6859926;427235;onstreetBus;78158;Chesnay-Rocquencourt,
477539;1196757-1221212;2019-07-22T02:00:00+02:00;2023-08-24T11:42:11+02:00;Reine Amélie de Portugal;636260;6857775;64070;onstreetBus;78158;Chesnay-Rocquencourt,
43892;1352798-1352799;2014-12-29T01:00:00+01:00;2023-08-24T11:38:10+02:00;Lycée Toulouse Lautrec;638082;6861087;70739;onstreetBus;92076;Vaucresson,
57668;57668-63805;2014-12-29T16:31:51+01:00;2023-08-24T11:37:16+02:00;Jayat;635713;6854629;63805;onstreetBus;78646;Versailles,
42998;42998-70718;2014-12-29T16:31:51+01:00;2023-08-24T11:32:07+02:00;Foch;637817;6860470;70718;onstreetBus;92076;Vaucresson,
478937;1185984-1233732;2020-02-12T11:14:39+01:00;2023-08-24T11:31:26+02:00;Collège Stade;637315;6859854;480589;onstreetBus;78158;Chesnay-Rocquencourt,
48636;48636-64056;2014-12-29T16:31:51+01:00;2023-08-24T11:31:11+02:00;Château de la Maye;636950;6857722;64056;onstreetBus;78646;Versailles,
477560;1145158-1145160;2019-07-22T23:22:36+02:00;2023-08-24T11:29:02+02:00;Centre Sportif;637928;6854865;477561;onstreetBus;78646;Versailles,
49751;49751-69100;2014-12-29T16:31:51+01:00;2023-08-23T01:13:54+02:00;CTCI;674227;6875894;69100;onstreetBus;77123;Compans,
46262;1492594-1492595;2014-12-29T01:00:00+01:00;2023-08-22T19:28:30+02:00;Centre Commercial Aéroville;665176;6876910;73991;onstreetBus;93073;Tremblay-en-France,
473498;1373572-66650;2019-03-15T01:00:00+01:00;2023-08-22T17:05:13+02:00;Gare de Les Noues;661739;6881515;66650;onstreetBus;95280;Goussainville,
482765;1492542-1492543;2021-10-06T02:00:00+02:00;2023-08-21T17:50:17+02:00;Chemin Vert;649265;6875680;482818;onstreetBus;95428;Montmorency,
473499;1097968-73096;2019-03-15T01:00:00+01:00;2023-08-21T14:40:26+02:00;Gare des Yvris - Noisy-le-Grand;669235;6858265;73096;onstreetBus;93051;Noisy-le-Grand,
43272;43272-655323;2014-12-29T16:31:51+01:00;2023-08-21T08:59:11+02:00;Place du Général de Gaulle;662283;6861465;415674;onstreetBus;94033;Fontenay-sous-Bois,
42460;771907-771906;2014-12-29T01:00:00+01:00;2023-08-16T16:01:44+02:00;La Cendrière;622206;6870162;64809;onstreetBus;78431;Morainvilliers,
42581;42581-64972;2014-12-29T16:31:51+01:00;2023-08-16T14:13:48+02:00;Château;624075;6871782;64972;onstreetBus;78431;Morainvilliers,
49194;49194-64186;2014-12-29T16:31:51+01:00;2023-08-14T21:07:33+02:00;Ebisoires;623246;6859403;64186;onstreetBus;78490;Plaisir,
42574;42574-60442;2014-12-29T16:31:51+01:00;2023-08-14T20:30:50+02:00;Château d'Eau;645703;6836525;60442;onstreetBus;91339;Linas,
473478;1097029-1328217;2019-03-14T01:00:00+01:00;2023-08-14T20:11:59+02:00;Porte de Paris - Stade de France;652833;6870139;72285;onstreetBus;93066;Saint-Denis,
58905;1238582-1238583;2014-12-29T01:00:00+01:00;2023-08-14T13:05:27+02:00;Saint-Cucufa;639213;6862836;70783;onstreetBus;92063;Rueil-Malmaison,
57712;57712-64266;2014-12-29T16:31:51+01:00;2023-08-14T13:05:27+02:00;Place Amade;637438;6861228;64266;onstreetBus;78126;La Celle-Saint-Cloud,
44540;44540-64347;2014-12-29T16:31:51+01:00;2023-08-14T13:05:27+02:00;Poste;636862;6862878;64347;onstreetBus;78092;Bougival,
44817;44817-64492;2014-12-29T16:31:51+01:00;2023-08-14T13:05:27+02:00;Schnapper;633354;6865739;64492;onstreetBus;78551;Saint-Germain-en-Laye,
54664;1349869-1349868;2014-12-29T01:00:00+01:00;2023-08-14T13:05:27+02:00;Hirsch Saut du Loup;635804;6860272;64227;onstreetBus;78126;La Celle-Saint-Cloud,
