"JOUR","CODE_STIF_TRNS","CODE_STIF_RES","CODE_STIF_ARRET","LIBELLE_ARRET","ID_REFA_LDA","CATEGORIE_TITRE","NB_VALD","Month","Year","Weekday","is_holiday"
2021-03-28,800,803,474,"LONGJUMEAU",62977,"TST",5,"Mar",2021,"Sunday",FALSE
2021-10-31,800,805,593,"NOGENT-LE-PERREUX",71609,"NAVIGO JOUR",11,"Oct",2021,"Sunday",FALSE
2021-11-30,800,852,720,"RAMBOUILLET",60665,"AUTRE TITRE",5,"Nov",2021,"Tuesday",FALSE
2020-07-26,100,110,162,"CHATEAU ROUGE",71469,"AUTRE TITRE",60,"Jul",2020,"Sunday",FALSE
2023-01-14,100,110,226,"CRETEIL-UNIV.",70172,"NAVIGO",139,"Jan",2023,"Saturday",FALSE
2020-02-07,810,802,484,"LUXEMBOURG",71161,"NAVIGO JOUR",16,"Feb",2020,"Friday",FALSE
2021-05-15,100,110,687,"PORTE DE CHOISY",70604,"NAVIGO",26,"May",2021,"Saturday",FALSE
2020-07-05,800,851,880,"MORET-VENEUX-LES-SABLONS",61410,"NAVIGO",5,"Jul",2020,"Sunday",FALSE
2021-03-26,800,854,867,"VAL-D'ARGENTEUIL",65110,"AMETHYSTE",99,"Mar",2021,"Friday",FALSE
2020-12-11,810,801,841,"SUCY-BONNEUIL",72929,"AMETHYSTE",105,"Dec",2020,"Friday",FALSE
2023-05-04,100,110,766,"SAINT-GEORGES",71366,"IMAGINE R",536,"May",2023,"Thursday",FALSE
2022-09-03,100,110,329,"GEORGE V      ",71328,"AUTRE TITRE",690,"Sep",2022,"Saturday",FALSE
2018-10-01,800,852,538,"MEUDON",70515,"AMETHYSTE",9,"Oct",2018,"Monday",FALSE
2018-07-07,800,853,256,"ENGHIEN-LES-BAINS",65485,"AMETHYSTE",185,"Jul",2018,"Saturday",FALSE
2022-02-07,800,851,46,"BAGNEUX-SUR-LOING",61145,"NAVIGO JOUR",5,"Feb",2022,"Monday",FALSE
2021-10-27,810,801,826,"SAINT-MAUR-CRETEIL",70393,"NON DEFINI",458,"Oct",2021,"Wednesday",FALSE
2018-02-10,800,853,115,"BRUYERES-SUR-OISE",67325,"NAVIGO",19,"Feb",2018,"Saturday",FALSE
2019-05-24,800,853,95,"BOUFFEMONT-MOISSELLES",66795,"IMAGINE R",247,"May",2019,"Friday",FALSE
2018-05-14,100,110,630,"PELLEPORT",71828,"NAVIGO",808,"May",2018,"Monday",FALSE
2021-09-17,100,110,43,"AVENUE EMILE ZOLA",71158,"AUTRE TITRE",300,"Sep",2021,"Friday",FALSE
2020-09-04,810,801,582,"NATION",71673,"AMETHYSTE",200,"Sep",2020,"Friday",FALSE
2021-07-19,100,110,772,"SAINT-MANDE-TOURELLE",71647,"AMETHYSTE",373,"Jul",2021,"Monday",FALSE
2022-06-12,100,110,864,"TUILERIES",71284,"IMAGINE R",1000,"Jun",2022,"Sunday",FALSE
2018-04-21,100,110,220,"COURONNES",71834,"TST",542,"Apr",2018,"Saturday",FALSE
2021-09-01,800,850,472,"LIZY-SUR-OURCQ",69237,"IMAGINE R",79,"Sep",2021,"Wednesday",FALSE
2019-06-21,800,805,178,"CHELLES-GOURNAY",68407,"AMETHYSTE",198,"Jun",2019,"Friday",FALSE
2022-12-01,100,110,850,"TERNES        ",71367,"FGT",325,"Dec",2022,"Thursday",FALSE
2021-07-15,100,110,232,"DANUBE",71930,"NON DEFINI",88,"Jul",2021,"Thursday",FALSE
2018-09-26,800,803,97,"BOULAINVILLIERS",71229,"AMETHYSTE",22,"Sep",2018,"Wednesday",FALSE
2017-12-24,800,851,139,"CHAMPAGNE-SUR-SEINE",61537,"IMAGINE R",9,"Dec",2017,"Sunday",FALSE
2019-11-03,100,110,90,"BONNE NOUVELLE",71320,"FGT",70,"Nov",2019,"Sunday",FALSE
2022-07-08,800,853,852,"THIEUX NANTOUIL",69196,"TST",5,"Jul",2022,"Friday",FALSE
2017-06-26,100,110,510,"MARCADET-POISSONNIERS",71511,"AUTRE TITRE",301,"Jun",2017,"Monday",FALSE
2020-09-29,810,801,594,"NOGENT-SUR-MARNE",71590,"FGT",247,"Sep",2020,"Tuesday",FALSE
2018-08-11,810,802,286,"FONTAINE-MICHALON",69647,"FGT",24,"Aug",2018,"Saturday",FALSE
2020-07-10,800,803,3,"ABLON",69554,"NON DEFINI",9,"Jul",2020,"Friday",FALSE
2022-12-27,800,853,339,"GROS NOYER",66063,"NAVIGO",37,"Dec",2022,"Tuesday",FALSE
2018-09-04,800,804,740,"RIS-ORANGIS",60839,"IMAGINE R",143,"Sep",2018,"Tuesday",FALSE
